entrezgene
100101935
100270990
100288402
100302682
100419003
100420851
100505625
100874374
101927365
101929608
102723626
102723906
105369482
105373570
105374053
105376775
105377432
105377700
106481057
10671
107403234
107984359
107984587
107984731
107985144
107985311
109729143
10978
110121350
110121505
111413041
112841602
11320
121498
123722
164312
1847
219983
23178
3123
3397
3415
360167
387559
441086
442255
442459
55011
55891
63894
64109
645846
654506
693136
729079
7834
79848
84720
9466
9871
