"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ontologyall","go","entrez","ensemblprot","symbol","path"
"ENSMUSG00000097048",9.96804322759133,0.926985951014576,0.633171498310034,1.46403613158322,0.14318407635576,0.270865591808251,"BP","1600020E01Rik","72012",NA,"GO:0003674",NA
"ENSMUSG00000018585",62.6333702749361,0.473206649797587,0.32339824776435,1.46323195338522,0.143403920147563,0.271233648685307,"BP","Atox1","11927","ENSMUSP00000104485","GO:0005375",NA
"ENSMUSG00000107179",2.73601126893786,-1.1192937898412,0.765244941592052,-1.46266081486611,0.143560213447851,0.271481397826291,NA,NA,NA,NA,NA,NA
"ENSMUSG00000021555",71.7115244995941,-0.461329600846863,0.31547684798621,-1.4623247436117,0.143652241117807,0.271607550707056,"BP","Naa35","78689",NA,"GO:0005515",NA
"ENSMUSG00000030534",18.0321301888657,-0.820510495818808,0.561193606482122,-1.46208097587253,0.143719021271231,0.271685931312381,"BP","Vps33b","233405",NA,"GO:0005515",NA
"ENSMUSG00000042423",5.08758557915763,1.10976742002796,0.759263702374736,1.46163634130929,0.143840890189471,0.271868405558959,"BP","Fbrs","14123","ENSMUSP00000146139","GO:0005615",NA
"ENSMUSG00000037752",11.6354326419444,0.912292445398414,0.624313249833581,1.46127356041474,0.143940382705212,0.272008530149993,"BP","Xkr8","381560","ENSMUSP00000041205","GO:0003674",NA
"ENSMUSG00000020289",36.6437263496337,0.58837250791818,0.402672915782614,1.46116732677352,0.14396952722476,0.27201569004354,"BP","Nprl3","17168",NA,"GO:0003281",NA
"ENSMUSG00000056228",19.6361291033244,-0.77836393372051,0.532868396471885,-1.46070575563131,0.144096208851772,0.272207101349147,"BP","Cars2","71941",NA,"GO:0000166","00970"
"ENSMUSG00000046434",85.2761569473451,-0.406182802065359,0.278124019870183,-1.46043769342521,0.144169819731366,0.272298208816567,"BP","Hnrnpa1","15382",NA,"GO:0000166","03040"
"ENSMUSG00000022427",89.1117226190273,0.410279406682658,0.280989283363748,1.46012474842872,0.144255792059185,0.272370434484124,"BP","Tomm22","223696","ENSMUSP00000023062","GO:0005515",NA
"ENSMUSG00000071456",9.98516878032619,-0.959922335830921,0.657429869028676,-1.46011366543045,0.144258837503616,0.272370434484124,"BP","1110002L01Rik","100043040",NA,"GO:0003674",NA
"ENSMUSG00000038147",30.7320339395594,0.619251939592449,0.424822969615689,1.45767056840794,0.144931368101085,0.273592067040021,"BP","Cd84","12523",NA,"GO:0002250",NA
"ENSMUSG00000010755",97.6521946354092,-0.392848670840331,0.269695066703487,-1.45664018123195,0.145215729998457,0.273973624073929,"BP","Cars","27267",NA,"GO:0000049","00970"
"ENSMUSG00000024668",65.7463011202467,0.451729469848661,0.310094990670676,1.45674546006582,0.145186656005783,0.273973624073929,"BP","Sdhaf2","66072","ENSMUSP00000025570","GO:0003674",NA
"ENSMUSG00000043004",43.3135744481723,0.529036976235639,0.363207861444213,1.45656807683635,0.145235645051122,0.273973624073929,"BP","Gng2","14702",NA,"GO:0003924","04062"
"ENSMUSG00000082163",3.11835615892391,-1.1117782542425,0.763141261028979,-1.45684463809942,0.14515927089963,0.273973624073929,NA,NA,NA,NA,NA,NA
"ENSMUSG00000107577",2.3760168934191,-1.09488993512228,0.751833300778027,-1.45629348153274,0.145311506735071,0.274068538019311,NA,NA,NA,NA,NA,NA
"ENSMUSG00000045237",18.961101880072,0.758730394969793,0.521134881430469,1.45591942125836,0.145414896151462,0.274215328864983,"BP","1110012L19Rik","68618","ENSMUSP00000052765","GO:0003674",NA
"ENSMUSG00000006010",36.9581817987437,0.565777949191983,0.388663894418492,1.4556997892446,0.145475628187014,0.274233445649321,"BP","BC003331","226499",NA,"GO:0003674",NA
"ENSMUSG00000084936",16.9265141814883,-0.782761915674124,0.537694611460501,-1.45577414947114,0.145455064129007,0.274233445649321,NA,NA,NA,NA,NA,NA
"ENSMUSG00000021134",124.731080317817,-0.333017649077509,0.228823297302967,-1.4553485287671,0.145572798127926,0.274368407996555,"BP","Srsf5","20384",NA,"GO:0000166","03040"
"ENSMUSG00000029504",25.0735110514082,0.726226461125013,0.499180303666792,1.45483797295371,0.145714122878492,0.274538305275811,"BP","Ddx51","69663","ENSMUSP00000031478","GO:0000166",NA
"ENSMUSG00000039835",5.94781624457225,-1.07371168998756,0.738015656396259,-1.45486302449261,0.145707186020596,0.274538305275811,"BP","Nhsl1","215819",NA,"GO:0003674",NA
"ENSMUSG00000046603",10.4822620201027,-0.918350143529305,0.631306935350495,-1.45468090417769,0.145757621528778,0.274572039290735,"BP","Tcaim","382117",NA,"GO:0003674",NA
"ENSMUSG00000057143",1.90584252782822,-1.07607251945616,0.739977708114383,-1.45419585976207,0.145892012550094,0.274776950603478,"CC","Trim12c","319236",NA,"GO:0000932",NA
"ENSMUSG00000071252",5.33119746597916,1.09239797563326,0.751405851101818,1.453805522051,0.146000232089928,0.274884255854818,"BP","2210408I21Rik","72371","ENSMUSP00000127449","GO:0003674",NA
"ENSMUSG00000074519",6.96980045276741,-1.00120373270428,0.688637785165806,-1.4538902079897,0.145976748041153,0.274884255854818,"BP","Zfp971","626848",NA,"GO:0003700",NA
"ENSMUSG00000006058",10.3965415280787,0.913737643326116,0.628564552047383,1.45368942672611,0.146032430897125,0.274896634262916,"BP","Snf8","27681",NA,"GO:0000814","04144"
"ENSMUSG00000085181",13.1915718163798,0.85910179172825,0.59112915254537,1.4533233355672,0.146134001141711,0.275039572675137,NA,"Gm12709","100504717",NA,NA,NA
"ENSMUSG00000049969",18.3694804019487,-0.797201048958861,0.548605088983411,-1.45314191386031,0.146184355758644,0.275086084648085,"BP","Plekhf2","71801","ENSMUSP00000054745","GO:0005768",NA
"ENSMUSG00000039670",5.43269698512991,1.05356548058751,0.725234350178227,1.45272418540103,0.146300349128675,0.275256076017613,"BP","Oxld1","66431","ENSMUSP00000036860","GO:0003674",NA
"ENSMUSG00000041779",3.69375523524388,1.103043144403,0.759442378402832,1.45243823069604,0.14637979262193,0.275357253243568,"BP","Tram2","170829","ENSMUSP00000047992","GO:0005515",NA
"ENSMUSG00000085156",21.3253294906636,0.711150833224474,0.489775995222188,1.45199201300558,0.146503826061679,0.275542259114602,"BP","Snhg15","100041286",NA,"GO:0003674",NA
"ENSMUSG00000018648",70.4423654734104,0.437585478455189,0.301552277895225,1.45110984241091,0.146749276265446,0.275936021291154,"BP","Dusp14","56405",NA,"GO:0004721","04010"
"ENSMUSG00000058291",24.0907940362623,-0.733391983790404,0.50541994246106,-1.45105470159976,0.146764628773986,0.275936021291154,"BP","Zfp68","24135",NA,"GO:0000977",NA
"ENSMUSG00000050891",6.8975688792888,1.00529706209223,0.693270577903955,1.45007893618054,0.147036508246273,0.276398748986511,"BP","Tatdn1","69694","ENSMUSP00000105783","GO:0004518",NA
"ENSMUSG00000093803",10.6807097185977,0.913746356345017,0.630568356995479,1.44908374517684,0.147314196846676,0.276872232615828,"BP","Ppp2r3d","19054","ENSMUSP00000140113","GO:0003682","03015"
"ENSMUSG00000022848",9.26692828555227,-0.965555542404172,0.666617335510899,-1.44844049347166,0.147493896871,0.277161416295689,"BP","Dirc2","224132","ENSMUSP00000023554","GO:0003674",NA
"ENSMUSG00000019907",23.3467509463959,0.715146862813544,0.49436362046661,1.44660090914163,0.148008731442635,0.278080152524796,"BP","Ppp1r12a","17931","ENSMUSP00000069257","GO:0000776","04270"
"ENSMUSG00000029147",197.961310765792,-0.275537470653541,0.190589569613212,-1.44571117513264,0.148258228616017,0.2785001359819,"BP","Ppm1g","14208",NA,"GO:0003824",NA
"ENSMUSG00000045039",1.5036490162188,0.99831814438237,0.690871887855154,1.44501196521644,0.148454524796142,0.278820052873425,"BP","Megf8","269878","ENSMUSP00000122192","GO:0003143",NA
"ENSMUSG00000063445",18.2563663995365,0.745039130343132,0.515655001054972,1.44484030760657,0.14850274628417,0.278861799778852,"BP","Nmral1","67824",NA,"GO:0003674",NA
"ENSMUSG00000027439",24.4515246941866,-0.684693270576317,0.473949027457616,-1.44465592481366,0.148554555812766,0.278887259719797,"BP","Gzf1","74533","ENSMUSP00000028928","GO:0000122",NA
"ENSMUSG00000032423",105.764004931358,-0.366813195639611,0.253919015979455,-1.44460703041355,0.148568296914489,0.278887259719797,"BP","Syncrip","56403",NA,"GO:0000166",NA
"ENSMUSG00000105929",1.79141405275824,-1.06262399896706,0.735727492131082,-1.44431737339201,0.148649720962826,0.278991288748985,NA,NA,NA,NA,NA,NA
"ENSMUSG00000105870",1.66831561069134,-1.05273174396791,0.728968705370178,-1.44413846055754,0.148700031283564,0.279036896206066,NA,NA,NA,NA,NA,NA
"ENSMUSG00000054116",1.91975443111578,-1.07002623747237,0.741075959016469,-1.44388199948151,0.148772170858327,0.279123443331258,NA,NA,NA,NA,NA,NA
"ENSMUSG00000039841",38.1423067468299,0.563639040406127,0.390417656399578,1.44368224942487,0.148828376779254,0.279180071006791,"BP","Zfp800","627049",NA,"GO:0003676",NA
"ENSMUSG00000053012",45.2865134232438,-0.531299966512885,0.368264913280056,-1.442711339999,0.14910180342507,0.279644081668557,"BP","Krcc1","57896",NA,"GO:0003674",NA
"ENSMUSG00000022035",39.421540101989,-0.558309964169989,0.387435243857414,-1.441040723635,0.149573178184314,0.28047912175517,"BP","Ccdc25","67179","ENSMUSP00000022614","GO:0003674",NA
"ENSMUSG00000041297",6.58853500641379,1.03906788258202,0.721755961938951,1.43963879396387,0.149969618034664,0.281173376839545,"BP","Cdk13","69562","ENSMUSP00000036013","GO:0000166",NA
"ENSMUSG00000035062",3.67924462612398,1.10146273192518,0.76516525288112,1.43950960629457,0.150006190215218,0.281192218757351,"BP","Zc4h2","245522",NA,"GO:0003674",NA
"ENSMUSG00000059842",1.77394025935423,-1.02528925898893,0.712294249756878,-1.43941813279958,0.150032089873888,0.281192218757351,"BP","Zfp341","228807",NA,"GO:0003677",NA
"ENSMUSG00000045854",18.4617671287019,0.73194158823094,0.508745497908979,1.43871855621196,0.150230279661784,0.281465323124628,"BP","Lyrm2","108755","ENSMUSP00000061451","GO:0003674",NA
"ENSMUSG00000097658",132.706627689269,0.312850879972707,0.217440557674119,1.43878806842273,0.150210577949844,0.281465323124628,NA,NA,NA,NA,NA,NA
"ENSMUSG00000028621",11.7607809156495,0.901764042134029,0.626828705580567,1.43861318747172,0.150260147878007,0.281472126145496,"BP","Cyb5rl","230582",NA,"GO:0004128",NA
"ENSMUSG00000074272",3.95691138213459,1.08510936668162,0.754419927666114,1.43833603393607,0.150338732472459,0.281570167940736,"BP","Ceacam1","26365",NA,"GO:0001568",NA
"ENSMUSG00000028051",3.83425544496993,1.08750055828579,0.756144474346173,1.43821795329012,0.150372222781817,0.281583732938268,"BP","Hcn3","15168",NA,"GO:0000166",NA
