state,timestamp,season,number_mariages,year
Bayern,3,summer,17150,2010
Berlin,3,summer,3423,2010
Brandenburg,3,summer,3969,2010
Bremen,3,summer,806,2010
Hamburg,3,summer,2037,2010
Hessen,3,summer,7876,2010
Mecklenburg-Vorpommern,3,summer,3428,2010
Niedersachsen,3,summer,11034,2010
Nordrhein-Westfalen,3,summer,22149,2010
Rheinland-Pfalz,3,summer,5635,2010
Saarland,3,summer,1218,2010
Sachsen,3,summer,5828,2010
Sachsen-Anhalt,3,summer,3281,2010
Schleswig-Holstein,3,summer,4976,2010
Thüringen,3,summer,3226,2010
Baden-Württemberg,4,summer,14374,2011
Bayern,4,summer,17464,2011
Berlin,4,summer,3590,2011
Brandenburg,4,summer,3893,2011
Bremen,4,summer,792,2011
Hamburg,4,summer,1992,2011
Hessen,4,summer,8200,2011
Mecklenburg-Vorpommern,4,summer,3334,2011
Niedersachsen,4,summer,10821,2011
Nordrhein-Westfalen,4,summer,22570,2011
Rheinland-Pfalz,4,summer,5730,2011
Saarland,4,summer,1278,2011
Sachsen,4,summer,5620,2011
Sachsen-Anhalt,4,summer,3329,2011
Schleswig-Holstein,4,summer,4837,2011
Thüringen,4,summer,3095,2011
Baden-Württemberg,5,summer,17482,2012
Bayern,5,summer,21786,2012
Berlin,5,summer,4545,2012
Brandenburg,5,summer,5587,2012
Bremen,5,summer,914,2012
Hamburg,5,summer,2307,2012
Hessen,5,summer,10295,2012
Mecklenburg-Vorpommern,5,summer,4790,2012
Niedersachsen,5,summer,14272,2012
Nordrhein-Westfalen,5,summer,27284,2012
Rheinland-Pfalz,5,summer,7592,2012
Saarland,5,summer,1817,2012
Sachsen,5,summer,7994,2012
Sachsen-Anhalt,5,summer,4893,2012
Schleswig-Holstein,5,summer,6399,2012
Thüringen,5,summer,4500,2012
Baden-Württemberg,6,summer,17232,2013
Bayern,6,summer,21084,2013
Berlin,6,summer,4309,2013
Brandenburg,6,summer,5580,2013
Bremen,6,summer,893,2013
Hamburg,6,summer,2218,2013
Hessen,6,summer,9844,2013
Mecklenburg-Vorpommern,6,summer,4663,2013
Niedersachsen,6,summer,13818,2013
Nordrhein-Westfalen,6,summer,26276,2013
Rheinland-Pfalz,6,summer,7268,2013
Saarland,6,summer,1655,2013
Sachsen,6,summer,7602,2013
Sachsen-Anhalt,6,summer,4438,2013
Schleswig-Holstein,6,summer,6100,2013
Thüringen,6,summer,4206,2013
Baden-Württemberg,7,summer,18066,2014
Bayern,7,summer,22707,2014
Berlin,7,summer,4486,2014
Brandenburg,7,summer,5973,2014
Bremen,7,summer,971,2014
Hamburg,7,summer,2007,2014
Hessen,7,summer,10601,2014
Mecklenburg-Vorpommern,7,summer,4864,2014
Niedersachsen,7,summer,14560,2014
Nordrhein-Westfalen,7,summer,27837,2014
Rheinland-Pfalz,7,summer,7534,2014
Saarland,7,summer,1752,2014
Sachsen,7,summer,7771,2014
Sachsen-Anhalt,7,summer,4519,2014
Schleswig-Holstein,7,summer,6623,2014
Thüringen,7,summer,4327,2014
Baden-Württemberg,1,fall,15631,1990
Bayern,1,fall,19071,1990
Berlin,1,fall,4834,1990
Brandenburg,1,fall,3067,1990
Bremen,1,fall,1061,1990
Hamburg,1,fall,2419,1990
Hessen,1,fall,8298,1990
Mecklenburg-Vorpommern,1,fall,2159,1990
Niedersachsen,1,fall,11918,1990
Nordrhein-Westfalen,1,fall,28187,1990
Rheinland-Pfalz,1,fall,5344,1990
Saarland,1,fall,1653,1990
Sachsen,1,fall,5633,1990
Sachsen-Anhalt,1,fall,3330,1990
Schleswig-Holstein,1,fall,4235,1990
Thüringen,1,fall,3046,1990
Baden-Württemberg,2,fall,12474,2003
Bayern,2,fall,14287,2003
Berlin,2,fall,2992,2003
Brandenburg,2,fall,2070,2003
Bremen,2,fall,746,2003
Hamburg,2,fall,1812,2003
Hessen,2,fall,6773,2003
Mecklenburg-Vorpommern,2,fall,1643,2003
Niedersachsen,2,fall,9707,2003
Nordrhein-Westfalen,2,fall,21870,2003
Rheinland-Pfalz,2,fall,4639,2003
Saarland,2,fall,1145,2003
Sachsen,2,fall,3189,2003
Sachsen-Anhalt,2,fall,1988,2003
Schleswig-Holstein,2,fall,3930,2003
Thüringen,2,fall,1763,2003
Baden-Württemberg,3,fall,17457,2010
Bayern,3,fall,20872,2010
Berlin,3,fall,4082,2010
Brandenburg,3,fall,5322,2010
Bremen,3,fall,959,2010
Hamburg,3,fall,2327,2010
Hessen,3,fall,9577,2010
Mecklenburg-Vorpommern,3,fall,4556,2010
Niedersachsen,3,fall,13289,2010
Nordrhein-Westfalen,3,fall,26249,2010
Rheinland-Pfalz,3,fall,7116,2010
Saarland,3,fall,1618,2010
Sachsen,3,fall,7746,2010
Sachsen-Anhalt,3,fall,4437,2010
Schleswig-Holstein,3,fall,6079,2010
Thüringen,3,fall,4267,2010
Baden-Württemberg,4,fall,17562,2011
Bayern,4,fall,21146,2011
Berlin,4,fall,4160,2011
Brandenburg,4,fall,5220,2011
Bremen,4,fall,905,2011
Hamburg,4,fall,2273,2011
Hessen,4,fall,9824,2011
Mecklenburg-Vorpommern,4,fall,4436,2011
Niedersachsen,4,fall,13112,2011
Nordrhein-Westfalen,4,fall,26866,2011
Rheinland-Pfalz,4,fall,7106,2011
Saarland,4,fall,1639,2011
Sachsen,4,fall,7439,2011
Sachsen-Anhalt,4,fall,4307,2011
Schleswig-Holstein,4,fall,6030,2011
Thüringen,4,fall,3985,2011
Baden-Württemberg,5,fall,12313,2012
Bayern,5,fall,14724,2012
Berlin,5,fall,3224,2012
Brandenburg,5,fall,2676,2012
Bremen,5,fall,692,2012
Hamburg,5,fall,1690,2012
Hessen,5,fall,6298,2012
Mecklenburg-Vorpommern,5,fall,2283,2012
Niedersachsen,5,fall,9195,2012
Nordrhein-Westfalen,5,fall,20234,2012
Rheinland-Pfalz,5,fall,4485,2012
Saarland,5,fall,1136,2012
Sachsen,5,fall,4040,2012
Sachsen-Anhalt,5,fall,2117,2012
Schleswig-Holstein,5,fall,3683,2012
Thüringen,5,fall,2048,2012
Baden-Württemberg,6,fall,12191,2013
Bayern,6,fall,14810,2013
Berlin,6,fall,3257,2013
Brandenburg,6,fall,2549,2013
Bremen,6,fall,677,2013
Hamburg,6,fall,1841,2013
Hessen,6,fall,6554,2013
Mecklenburg-Vorpommern,6,fall,2186,2013
Niedersachsen,6,fall,8951,2013
Nordrhein-Westfalen,6,fall,21304,2013
Rheinland-Pfalz,6,fall,4447,2013
Saarland,6,fall,1092,2013
Sachsen,6,fall,3871,2013
Sachsen-Anhalt,6,fall,2192,2013
Schleswig-Holstein,6,fall,3746,2013
Thüringen,6,fall,2056,2013
Baden-Württemberg,7,fall,12400,2014
Bayern,7,fall,15119,2014
Berlin,7,fall,3396,2014
Brandenburg,7,fall,2700,2014
Bremen,7,fall,710,2014
Hamburg,7,fall,1653,2014
Hessen,7,fall,6585,2014
Mecklenburg-Vorpommern,7,fall,2265,2014
Niedersachsen,7,fall,9293,2014
Nordrhein-Westfalen,7,fall,21297,2014
Rheinland-Pfalz,7,fall,4627,2014
Saarland,7,fall,1135,2014
Sachsen,7,fall,4111,2014
Sachsen-Anhalt,7,fall,2062,2014
Schleswig-Holstein,7,fall,3543,2014
Thüringen,7,fall,2019,2014
Baden-Württemberg,1,winter,8120,1990
Bayern,1,winter,10089,1990
Berlin,1,winter,3389,1990
Brandenburg,1,winter,1993,1990
Bremen,1,winter,725,1990
Hamburg,1,winter,1647,1990
