A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML
497097	-1.7775009537145	7.45743869937893	6.92406051946832	-0.533378179910613	12.0755399266279	11.9089299396791	0	1.20216665828917e-06	1.31347701181858e-06	0.788237387994078	1	1	0
27395	4.20821825767372	0.483266199284689	0.0375401645028317	-0.445726034781857	0	0	0	0.982973795586472	0.999783341129655	0.989305259196134	0	0	0
18777	5.28181775577204	0.293138034851815	-0.366958962397112	-0.660096997248926	0	0	0	0.999144068018564	0.998557792621662	0.976801823639126	0	0	0
21399	5.00076543219031	0.371119417990177	0.408369022913513	0.0372496049233364	0	0	0	0.999334422875864	0.999091184148601	0.99998779365061	0	0	0
58175	1.6102988938924	-5.48790418212369	-5.02384088835667	0.464063293767019	-17.5184317827707	-15.6882314474812	0	6.43692946090282e-08	1.49644748912739e-07	0.996854467785753	-1	-1	0
108664	5.76222767561418	-0.814323123604515	-1.03294786765811	-0.218624744053592	0	-0.268920366251014	0	0.915162900447529	0.397415381325731	0.999933352882031	0	0	0
12421	6.29385329507935	-0.931340593012134	-0.316937899206597	0.614402693805537	0	0	0	0.674311425343906	0.999198512644434	0.988801947864801	0	0	0
319263	5.95347435881633	-0.073438225088875	0.16859146412413	0.242029689213004	0	0	0	0.99991813503393	0.999762992984122	0.999697482638689	0	0	0
59014	5.60684363566037	1.01751500582509	1.31823844561707	0.300723439791986	0.0871318520676615	1.58331880099206	0	0.466363782755667	0.076102234872256	0.99671988592349	0	0	0
76187	0.507810290359411	-1.31834172247959	-1.34304365994854	-0.0247019374689491	-1.00342409010883	-1.10776902786199	0	0.172634742805591	0.150190154586252	0.999002652548729	0	0	0
17864	3.15250319239902	0.855877863054244	1.33675566574442	0.480877802690177	0	1.52466755017924	0	0.73601813909847	0.0830242912456869	0.974991376827789	0	0	0
70675	6.10028773467171	-0.329409646922375	-0.0163179836197278	0.313091663302647	0	0	0	0.998706736353086	0.99997682892516	0.999245772020986	0	0	0
170755	2.97944015002248	1.5699543024213	0.388978382998184	-1.18097591942312	2.8313555581259	0	-0.920620310934958	0.0111101940149206	0.995341752732459	0.192154002920607	0	0	0
620986	1.87609827155865	1.12590541818487	0.105410866197658	-1.02049455198721	0.642816090639046	0	-0.107670418979255	0.269210897724072	0.999654270582243	0.458463762777117	0	0	0
73824	3.5449149974642	0.368135431646559	0.223920545608424	-0.144214886038134	0	0	0	0.998203094863182	0.999580309733221	0.999793957254719	0	0	0
26754	6.02595349380437	0.0562553992567763	-0.147422094896914	-0.20367749415369	0	0	0	0.999988015817202	0.999961912951823	0.999957790195096	0	0	0
211660	4.74205512467988	-0.357129585552462	-0.0100905717470647	0.347039013805397	0	0	0	0.985392805104811	0.999805419751956	0.988725870168277	0	0	0
211673	7.70321547675119	-0.416570755233992	-0.235808534276555	0.180762220957437	0	0	0	0.995631993900373	0.99904165137314	0.999633876911591	0	0	0
