Genotype A,Genotype B
54.89321126,30.48837344
48.77277081,24.75629016
50.75909159,24.20443057
44.96176305,27.94116151
28.74590483,18.76384874
35.31823482,25.51042559
67.69529475,31.23472304
54.063709,25.07815634
45.6906724,25.78900256
47.97799335,25.23589724
35.17263981,23.86699273
69.12897736,NA
52.01261012,31.59287119
47.30623199,22.7758866
40.810826,22.96212364
