gene	spt7.del	wt
Q0010	5.70097508060957	5.74519967740537
Q0017	5.79127751800872	5.74260720860127
Q0032	5.70815964021277	5.7936124124532
COX1	7.40318249445324	7.52816495671717
AI1	9.33578782271908	8.45680204319366
AI2	9.75565873708187	8.87923708379798
AI3	8.42368741099508	7.85054316901004
AI4	5.4280016529923	5.75458557327607
AI5_ALPHA	11.1016671453918	10.422863705431
AI5_BETA	7.94883442557869	7.46197049393517
ATP8	8.68840069132372	7.77842543754163
ATP6	7.18008817207722	6.57456930877824
Q0092	6.14598919035718	6.00517314519125
COB	5.92381711631401	5.79574876854688
BI2	6.67666233485797	6.28435310918683
BI3	6.84742071536432	7.07137654914708
BI4	7.38461972457922	6.86997008235441
OLI1	13.7182331753489	12.8902585761601
VAR1	6.38004367297731	6.30739937954348
Q0142	6.04938245644922	6.03433018244915
Q0143	6.96697257586701	6.96988724029906
Q0144	5.97664545618803	6.05546248996177
SCEI	6.87142477254769	6.70012062529837
Q0182	5.84082826758176	5.8812314521571
COX2	7.89736145196142	8.03250312791364
Q0255	5.73816253438864	5.69079141012868
COX3	6.28211912928497	6.14160649573461
Q0297	6.36332879754732	6.38050435611359
TFC3	10.4310692242515	10.3779479604058
VPS8	8.94189858941574	8.82209596194791
EFB1	14.3928942781098	15.3161719110467
YAL004W	6.73183491441663	7.04599986307619
SSA1	15.4039174194626	16.070248852175
ERP2	12.3839067523094	12.1619663887146
FUN14	10.6420878049927	10.525031345124
SPO7	10.234110876325	10.2050845545097
MDM10	8.81408572802569	8.41919334489775
SWC3	6.88276530647313	6.64239111065473
CYS3	12.864455076951	12.6675085391272
DEP1	9.75272350723875	9.56552673004055
SYN8	10.5339623545659	10.6375033818713
NTG1	10.7133693296644	10.3678078621158
TPD3	11.9925170756749	11.655749838744
PSK1	10.7858284190106	10.3793350422453
YAL018C	6.35211053659752	6.19121322542216
FUN30	11.6903254225366	11.5862017843435
ATS1	9.76603688391808	10.0370115063079
CCR4	10.1665773742115	10.1688726525928
FUN26	10.4299088249995	10.3965191587574
PMT2	9.86869911034599	10.007840218682
LTE1	9.28914974170386	8.8746832520689
MAK16	11.0273254852359	11.4986896737263
DRS2	11.6714968387182	11.409666719123
SAW1	9.20122216390218	8.96578139926912
FRT2	8.25839172224473	8.54082547939538
MYO4	10.4760575956775	10.1949661038857
SNC1	10.7861062327742	10.7692097296938
GIP4	9.94706997524415	9.87213925245275
PRP45	9.34586204630357	9.37013593911771
POP5	10.6888971909525	10.952719410063
FUN19	9.60511833609802	9.5362705317832
MTW1	7.01883443564899	6.94204525991605
YAL034C-B	6.42840707523493	6.45157380099217
FUN12	12.6544592607074	12.7958367409336
RBG1	11.9932214673689	11.9295691094946
YAL037W	12.2176851226753	12.2166458359543
CDC19	15.0115417622096	15.1126716290772
CYC3	8.70518309500013	9.02930931590982
CLN3	10.3491153287033	10.196479181784
CDC24	10.6210628316654	10.5031797588391
ERV46	12.3817808572866	12.1481905570126
PTA1	10.2801791902801	10.1566013924309
YAL042C-A	6.00142395838908	6.02012434343295
GCV3	8.33989007719029	8.63576527238396
YAL044W-A	11.5366940419198	11.1730524577741
YAL045C	7.74040142562487	7.93996701503098
AIM1	10.0777236747488	10.0311222168197
SPC72	9.04402246822413	8.86807246699211
GEM1	8.68225725184464	8.46722648718469
AIM2	10.6053313517844	10.4792851366599
OAF1	9.10292577769055	8.92641757341287
FLC2	9.61955606978474	9.73892317481323
ACS1	8.64752678195718	8.62662530243608
PEX22	9.47872715690854	9.50968990457876
GPB2	9.83477915019701	9.83821750443149
YAL056C-A	5.95037975940237	5.90495849555993
CNE1	8.14906625064102	7.83757747738058
ECM1	9.89125816278867	10.4400074449242
BDH1	8.44697987759104	10.3492922881468
BDH2	7.83934868032274	8.80844940927769
GDH3	8.0736274612777	8.10504944346395
FLO9	8.10682986340456	7.85908125229074
TDA8	6.28081159179216	6.27287794916456
YAL064W	7.25513245901065	7.17570422819368
YAL064W-B	7.69597294063483	7.68797048659613
YAL065C	6.2864912274602	6.27172259628136
YAL066W	6.08034214588779	5.98502674054015
SEO1	8.27636173235621	8.12077700492997
PAU8	8.3178331500809	8.04395140636942
YAL069W	8.13703211171195	8.26549784472633
ERP1	11.249356449901	11.0917791590293
NUP60	5.68117936726462	5.64842229958794
SWD1	9.83199596230746	9.93268425286543
RFA1	8.81164121021176	8.91874102032799
SEN34	8.89474805156922	9.21953640920018
YAR009C	10.9878750736475	12.6789631878052
YPR158W-A	11.120088804115	12.2638706870189
BUD14	8.77205389191941	8.86272723264582
ADE1	11.1007214646396	11.1016014931428
KIN3	9.6240698143363	9.77687383427657
CDC15	9.50305450478854	9.37790459260214
PAU7	9.90363484966002	9.95609586817905
YAR023C	5.80559685484231	5.84475973698517
UIP3	8.39375081803557	8.47733328666317
YAR028W	9.57930462228042	9.6735740901124
YAR029W	7.29442776403656	7.37057407887868
YAR030C	7.41967371652588	7.32861210253681
PRM9	8.17918756209747	7.92464031984899
MST28	8.99563149442772	9.04136620278965
YAT1	7.88029982457507	7.6243056421684
SWH1	6.61426666257486	6.45387146031218
YAR047C	5.89702981545681	5.84814217061708
FLO1	5.81317577348559	5.83308742208484
YAR053W	7.49124382979153	7.29473101436237
YAR060C	8.20995529718718	8.23378262978708
YHR212W-A	6.81615167453174	6.66401343301067
YAR062W	5.95895168505871	5.97308313962078
YAR064W	5.9419021096824	5.92725174160908
YHR214W	8.75784333276625	8.12075108994405
YHR214W-A	11.2122531796909	11.0443258083169
YAR069C	10.6351195180184	10.8693239391793
YHR214C-E	6.57250014879765	6.52187050265961
PHO12	9.67425053984075	11.1815249981261
IMD1	9.87764763767126	10.9994363371521
YAR075W	13.4517133914101	13.538152548901
ECM15	12.8294948188289	12.8553960545089
HTB2	14.8045898591751	14.6480710370166
HTA2	14.9964293527473	14.9868730811448
UTP20	11.0159098049721	11.1196803942025
PDR3	9.13123706005938	9.7142678449166
YMR046C	12.3877481007113	13.1596585109517
YGR161C-D	14.5323681019343	15.9029779958324
LDB7	10.1303260174975	10.6204489520133
SLA1	11.6697576039796	11.528375966737
HIR1	7.37731466100939	7.29231242897657
ALK2	10.4967639181511	10.4203918687052
YBL010C	7.61022758954469	7.59644323067903
SCT1	8.96949013262705	8.96665540941359
YBL012C	6.09871851610447	6.228087539768
FMT1	5.97156424584281	5.96175527606755
RRN6	8.78790582340367	8.70740745120131
ACH1	9.29775543235082	9.04946468706516
FUS3	8.6015479611556	9.81731147123791
PEP1	12.0861096802561	11.996120363033
POP8	11.2161213634348	10.8917609236431
APN2	9.2977187551009	9.04756020002569
RFT1	9.80180372720115	9.93266506242765
HAP3	8.99336867363822	9.11873607091417
PIM1	12.2680653117231	12.2244298353559
MCM2	10.3897711389389	10.3589917817571
NCL1	6.75056631032023	6.81800690198674
RRN10	8.9467103937474	9.27267177063986
LSM2	11.6902119145657	11.9737475835581
RPL19B	15.5536382927346	15.6928225201172
YBL028C	6.93927360092017	7.41185837935092
YBL029C-A	10.2624120154391	10.4409937114471
YBL029W	8.40654092182283	9.10142684361595
PET9	14.9912516697553	14.3233996257209
SHE1	8.26906120690021	8.45868958749532
HEK2	11.1248773651201	11.6154687155449
RIB1	7.56727163085093	8.12983937774091
STU1	10.0912105675637	9.70589671325476
POL12	9.95848601643004	10.156373861933
YBL036C	12.3509143263259	12.0206049838684
APL3	9.26635788417462	9.32465086505546
MRPL16	9.68677713393713	9.96879637076285
URA7	15.7822559962503	14.9626520420375
ERD2	11.5903250581567	11.5729654382292
PRE7	10.9450121338258	10.9379916704501
FUI1	10.9615075746831	11.5614263837779
ECM13	8.06695024392463	8.26007271596638
YBL044W	5.88023246943556	5.86427035100603
COR1	11.6546986752155	11.3092830720552
PSY4	9.80935495241939	9.56650124238063
EDE1	10.5424031633485	10.4003778204865
RRT1	6.57861422112897	6.552169542712
MOH1	7.01848952353614	6.73615836083358
SEC17	10.9841976939038	10.8648284034345
PIN4	11.0083375753359	10.6788729842325
SAS3	9.89590997909615	10.1070601102033
YBL053W	7.42099601897737	7.44332484757963
TOD6	10.0641095103199	10.5334757466818
YBL055C	9.4741683118417	9.99102574579393
PTC3	12.2297230969716	12.4641985632582
PTH2	10.856339929293	10.8492956239997
SHP1	12.1982270859513	11.958944147411
CMC2	10.8210803651567	10.9788462862394
YBL059W	7.52666355029927	7.52560693757131
YEL1	8.60703064596685	8.22251961763561
SKT5	8.71632562022602	8.95494073508909
YBL062W	5.74403189321432	5.69539256490745
KIP1	6.40955216951469	6.45018519707491
PRX1	6.57215752710563	6.84979914918893
YBL065W	6.0930382541023	6.03739759778181
SEF1	5.97409790786915	5.89011589527491
UBP13	9.85889793435786	9.80176170127636
PRS4	11.0171494252322	11.1536280276893
AST1	9.88071460168843	10.2425191465371
YBL070C	6.67337268349377	6.72014163258364
YBL071C	6.30436318719643	6.35061393093485
KTI11	10.8807467381105	11.2097945031746
RPS8A	15.7745837545588	15.9560766235379
YBL073W	6.24426487688134	6.53322848699607
AAR2	6.51860909723798	6.48334823608103
SSA3	7.16599230967975	7.10443101904988
ILS1	9.46123795471412	9.81075316512352
YBL077W	6.07706564252127	6.09542867206238
ATG8	7.36269781235336	6.8289234826346
NUP170	11.6264391366973	11.5746266379914
PET112	9.5760288859052	9.43771046552203
YBL081W	9.90793166537523	10.2667045670569
